Speed,Action
20.8544411731307,tensor(4)
20.146013943668194,tensor(0)
20.024952065064255,tensor(1)
20.004264014349108,tensor(1)
20.00072866988454,tensor(0)
20.000124521110198,tensor(0)
24.145580106061995,tensor(3)
20.708430865826177,tensor(4)
20.121062500015707,tensor(4)
20.02068815690711,tensor(1)
20.003535362611522,tensor(1)
20.000604151875443,tensor(0)
20.000103242447445,tensor(1)
20.000017642919584,tensor(0)
20.00000301496738,tensor(4)
20.000000515222453,tensor(0)
20.000000088045454,tensor(1)
20.000000015045934,tensor(4)
20.00000000257117,tensor(1)
20.000000000439382,tensor(4)
20.000000000075083,tensor(4)
20.000000000012832,tensor(1)
20.00000000000219,tensor(0)
20.00000000000037,tensor(0)
20.000000000000064,tensor(0)
20.000000000000014,tensor(0)
20.000000000000014,tensor(4)
20.000000000000014,tensor(0)
20.000000000000014,tensor(4)
20.000000000000014,tensor(0)
20.000000000000014,tensor(0)
20.000000000000014,tensor(1)
20.000000000000014,tensor(4)
20.000000000000014,tensor(4)
20.000000000000014,tensor(1)
20.000000000000014,tensor(0)
20.000000000000014,tensor(0)
20.000000000000014,tensor(4)
20.000000000000014,tensor(4)
20.000000000000014,tensor(0)
25.0,tensor(1)
25.0,tensor(0)
20.8544411731307,tensor(4)
20.146013943668194,tensor(4)
20.024952065064255,tensor(0)
20.004264014349108,tensor(4)
20.00072866988454,tensor(1)
20.000124521110198,tensor(0)
20.000021279192694,tensor(0)
20.000003636363672,tensor(1)
20.00000062141177,tensor(4)
20.000000106191962,tensor(0)
20.00000001814696,tensor(4)
20.0000000031011,tensor(1)
20.00000000052994,tensor(1)
20.00000000009056,tensor(1)
20.000000000015476,tensor(4)
20.000000000002643,tensor(4)
20.00000000000045,tensor(1)
20.000000000000078,tensor(0)
20.000000000000014,tensor(1)
20.000000000000014,tensor(1)
20.000000000000014,tensor(4)
20.000000000000014,tensor(4)
20.000000000000014,tensor(4)
20.000000000000014,tensor(1)
20.000000000000014,tensor(4)
20.000000000000014,tensor(1)
20.000000000000014,tensor(4)
20.000000000000014,tensor(1)
20.000000000000014,tensor(1)
20.000000000000014,tensor(4)
20.000000000000014,tensor(0)
20.000000000000014,tensor(4)
20.000000000000014,tensor(0)
20.000000000000014,tensor(4)
20.000000000000014,tensor(0)
20.000000000000014,tensor(4)
20.000000000000014,tensor(4)
20.000000000000014,tensor(0)
25.0,tensor(1)
20.8544411731307,tensor(4)
20.146013943668194,tensor(4)
20.024952065064255,tensor(0)
20.004264014349108,tensor(1)
20.00072866988454,tensor(1)
20.000124521110198,tensor(0)
20.000021279192694,tensor(1)
20.000003636363672,tensor(4)
20.00000062141177,tensor(1)
20.000000106191962,tensor(1)
20.00000001814696,tensor(1)
20.0000000031011,tensor(4)
20.00000000052994,tensor(0)
20.00000000009056,tensor(4)
20.000000000015476,tensor(1)
20.000000000002643,tensor(1)
20.00000000000045,tensor(0)
20.000000000000078,tensor(4)
20.000000000000014,tensor(1)
20.000000000000014,tensor(4)
20.000000000000014,tensor(1)
20.000000000000014,tensor(0)
20.000000000000014,tensor(1)
20.000000000000014,tensor(0)
20.000000000000014,tensor(4)
20.000000000000014,tensor(1)
20.000000000000014,tensor(0)
20.000000000000014,tensor(1)
20.000000000000014,tensor(1)
20.000000000000014,tensor(4)
20.000000000000014,tensor(1)
20.000000000000014,tensor(4)
20.000000000000014,tensor(0)
20.000000000000014,tensor(1)
20.000000000000014,tensor(4)
24.145558826869305,tensor(3)
24.85398605633181,tensor(0)
20.829489108066443,tensor(4)
20.14174992931909,tensor(1)
25.0,tensor(0)
25.0,tensor(1)
13.436031033643246,tensor(0)
29.1455588268693,tensor(3)
29.853986056331806,tensor(1)
29.975047934935745,tensor(1)
29.995735985650892,tensor(1)
29.99927133011546,tensor(0)
25.854316652020504,tensor(4)
21.000433837606195,tensor(4)
20.170962372368777,tensor(0)
20.0292154580016,tensor(0)
20.00499257804169,tensor(2)
20.000853172847776,tensor(0)
20.000145797201785,tensor(1)
20.00002491502643,tensor(4)
20.000004257684886,tensor(1)
20.000000727588247,tensor(0)
20.00000012433627,tensor(4)
20.0000000212476,tensor(0)
20.000000003630966,tensor(1)
20.00000000062049,tensor(4)
20.00000000010603,tensor(0)
